"Gene","Median_R","P_value","FDR"
"ENSG00000286787.2",-0.108993128240981,0.157118243741627,0.573766403182502
"ENSG00000280913.2",-0.108995968559026,0.157107366305886,0.573760725844376
"ENSG00000234019.1",-0.108997047706431,0.157103233692866,0.573760725844376
"ENSG00000226709.1",-0.109012102526232,0.157045589524574,0.573678698371494
"ENSG00000287315.1",-0.109032430080974,0.156967781525542,0.573523221693658
"ENSG00000266711.1",-0.109044911751123,0.156920019656736,0.573382751870461
"ENSG00000232131.1",-0.109061380687768,0.156857016979745,0.573186572438036
"ENSG00000260048.2",-0.10906675553988,0.156836459349175,0.573145481514497
"ENSG00000250237.3",-0.109079325194232,0.156788391081043,0.573007327401351
"ENSG00000226624.1",-0.109080146853259,0.156785249317586,0.573007327401351
"ENSG00000244404.3",-0.109085533454775,0.156764653833827,0.573007327401351
"ENSG00000225630.1",-0.109109307950743,0.156673777161308,0.572789054390847
"ENSG00000289462.1",-0.109139562709122,0.156558187303982,0.572434474776396
"ENSG00000279746.1",-0.109150269249448,0.156517297774536,0.572318969415725
"ENSG00000240692.3",-0.109173485030192,0.156428661566001,0.572062840775922
"ENSG00000261200.1",-0.109176144092603,0.156418511862459,0.572059715596814
"ENSG00000270035.1",-0.109198531670182,0.156333077581379,0.571849208122934
"ENSG00000224412.1",-0.109231185457287,0.156208528838234,0.571529498770601
"ENSG00000258874.1",-0.109247968498853,0.156144543648122,0.571364838547445
"ENSG00000241003.1",-0.109281212048647,0.156017861098041,0.571035577961215
"ENSG00000158062.21",-0.109285052090341,0.156003232675167,0.571015995703611
"ENSG00000286482.1",-0.109300575764322,0.155944106623824,0.570867481445194
"ENSG00000205181.8",-0.109302143471013,0.155938136531823,0.570867481445194
"ENSG00000286340.2",-0.109307170890175,0.155918992429398,0.570867481445194
"ENSG00000122966.17",-0.109307304554061,0.155918483469675,0.570867481445194
"ENSG00000234944.1",-0.109315286008371,0.155888094288241,0.570832205323706
"ENSG00000285810.1",-0.109323564353234,0.155856579409593,0.570750763012255
"ENSG00000171311.13",-0.109333689664407,0.155818039818508,0.570643584801563
"ENSG00000189166.6",-0.109340026498624,0.155793923811276,0.570589219652534
"ENSG00000088320.4",-0.109346953894619,0.155767563522529,0.570526627949206
"ENSG00000137171.15",-0.109358390140683,0.155724053392412,0.570401210688167
"ENSG00000226650.6",-0.109375605743626,0.15565857246596,0.570297129649068
"ENSG00000267650.1",-0.109390745842948,0.155601003001133,0.570120148163465
"ENSG00000236549.1",-0.109430015736631,0.155451755853381,0.569708977683586
"ENSG00000115685.15",-0.109453068830111,0.155364191626839,0.569455887647085
"ENSG00000286997.1",-0.10946364596093,0.15532402816958,0.569360897411524
"ENSG00000245205.3",-0.109471318369417,0.155294899406083,0.569303626938763
"ENSG00000106105.15",-0.109480153538364,0.155261361243868,0.569248493768176
"ENSG00000127463.16",-0.109490082634611,0.155223677054832,0.569178144701058
"ENSG00000249436.2",-0.109491438107909,0.155218533121359,0.569178144701058
"ENSG00000286085.1",-0.109502679946651,0.15517587601373,0.569104589320599
"ENSG00000285545.1",-0.109503313769101,0.155173471239949,0.569104589320599
"ENSG00000246375.4",-0.109506624745505,0.155160909582807,0.569104589320599
"ENSG00000163046.16",-0.109518229567845,0.155116887584448,0.568995649405807
"ENSG00000278647.1",-0.109525947938838,0.155087613744222,0.568950411318215
"ENSG00000167183.3",-0.109529385633284,0.155074576771941,0.568936497934566
"ENSG00000265566.2",-0.109529973254252,0.155072348384674,0.568936497934566
"ENSG00000287327.1",-0.109545645069407,0.155012926323941,0.568783801598418
"ENSG00000230166.1",-0.109560828792267,0.154955371284416,0.568668656549083
"ENSG00000177452.7",-0.109563345215923,0.154945834145759,0.568667566143873
"ENSG00000286092.1",-0.10957213437653,0.154912527066902,0.568579232216448
"ENSG00000267346.1",-0.109586622714747,0.154857634357978,0.568411656761938
"ENSG00000224190.2",-0.109593050651198,0.154833285195059,0.568356179413381
"ENSG00000148219.18",-0.109601853819168,0.154799943279423,0.56830158131644
"ENSG00000267868.1",-0.10960624857764,0.154783300195762,0.56830158131644
"ENSG00000007516.14",-0.109615973664762,0.154746475783849,0.568240877424892
"ENSG00000289040.1",-0.109619853887314,0.1547317850144,0.56822083518863
"ENSG00000203643.3",-0.109623989935631,0.154716126828298,0.56822083518863
"ENSG00000270074.1",-0.109627239185444,0.154703826706523,0.56822083518863
